Himalayas,Lhotse,8516,K2,8611,Mount Everest,8848CR
Andes,Aconcagua,6962,Ojos del Salado,6891,Monte Pissis,6792,Huascaran,6768,Bonete,6759CR
Kopaonik,Pancicev vrh,2017,Karaman,1934,Gobelja,1834CR
Alps,Dom,4545,Liskamm,4527,Mont Blan,4808,Matterhorn,4478CR
Zlatibor,Tornik,1496,Cigota,1422CR
